timestamp(ms),Error,Error Integral,Error Derivative,Engine RPM Target,Engine RPM,Secondary RPM,Target Ratio,Measured Ratio,Stepper Position,Kp,Ki,Kd,
"111.647","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"111.648","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"111.698","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"111.699","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"111.749","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"111.75","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"111.8","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"111.801","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"111.851","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"111.852","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"111.902","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"111.903","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"111.953","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"111.954","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"112.004","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"112.005","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"112.055","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"112.056","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"112.106","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"112.107","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"112.157","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"112.158","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"112.208","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"112.209","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"112.259","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"112.26","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"112.31","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"112.311","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"112.361","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"112.362","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"112.412","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"112.413","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"112.463","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"112.464","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"112.514","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"112.515","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"112.565","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"112.566","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"112.616","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"112.617","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"112.667","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"112.668","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"112.718","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"112.719","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"112.769","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"112.77","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"112.82","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"112.821","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"112.871","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"112.872","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"112.922","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"112.923","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"112.973","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"112.974","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"113.024","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"113.025","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"113.075","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"113.076","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"113.126","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"113.127","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"113.177","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"113.178","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"113.228","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"113.229","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"113.279","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"113.28","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"113.33","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"113.331","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"113.381","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"113.382","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"113.432","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"113.433","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"113.483","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"113.484","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"113.534","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"113.535","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"113.585","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"113.586","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"113.636","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"113.637","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"113.687","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"113.688","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
"113.738","3.88","0.47","0","2500","46","3000","3.9","0.02",,,,,
"113.739","3.88","0.47","0",,,,,,"0","-0.15","-0.25","-0.02",
